problem;instance;n;algorithm;budget;parameters;run;fitness;nfev;time
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.4;8;11437;396;844
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.4;9;11257;399;703
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.4;10;11318;391;719
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.4;1;6910;394;891
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.4;2;7959;399;875
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.4;3;9579;392;828
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.4;4;8246;376;828
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.4;5;8909;392;859
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.4;6;6453;383;938
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.4;7;10712;359;1047
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.4;8;7678;399;953
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.4;9;9445;385;906
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.4;10;7768;396;875
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.4;1;1660;282;297
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.4;2;1619;284;297
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.4;3;1628;214;297
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.4;4;1665;66;328
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.4;5;1697;198;328
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.4;6;1697;142;359
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.4;7;1681;272;312
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.4;8;1630;347;281
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.4;9;1595;233;328
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.4;10;1677;81;313
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.4;1;3273;376;2120
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.4;2;3359;394;703
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.4;3;3355;384;719
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.4;4;3338;316;891
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.4;5;3354;398;766
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.4;6;3275;394;906
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.4;7;3423;369;859
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.4;8;3341;396;828
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.4;9;3256;370;703
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.4;10;3328;359;797
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.4;1;103900;362;203
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.4;2;109070;379;219
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.4;3;112390;386;219
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.4;4;114130;371;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.4;5;106050;355;266
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.4;6;113600;373;328
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.4;7;111650;373;188
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.4;8;112730;396;219
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.4;9;120180;290;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.4;10;103380;352;187
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.4;1;25866;397;281
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.4;2;26416;390;495
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.4;3;26740;393;250
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.4;4;26592;396;464
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.4;5;26618;396;266
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.4;6;26630;398;266
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.4;7;26118;395;250
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.4;8;25696;389;261
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.4;9;26434;400;261
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.4;10;26188;398;229
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.6;1;11360;377;729
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.6;2;11247;391;714
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.6;3;11275;388;844
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.6;4;11240;370;703
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.6;5;11167;385;734
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.6;6;11819;391;734
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.6;7;11083;392;719
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.6;8;11405;363;719
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.6;9;11488;376;687
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.6;10;11830;371;766
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.6;1;8273;359;859
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.6;2;8503;391;813
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.6;3;11790;389;828
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.6;4;8548;385;859
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.6;5;7981;371;1078
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.6;6;12022;398;875
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.6;7;10801;376;859
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.6;8;9526;400;953
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.6;9;11349;393;875
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.6;10;7580;388;859
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.6;1;1697;231;312
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.6;2;1659;166;313
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.6;3;1609;303;313
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.6;4;1665;213;875
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.6;5;1635;248;312
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.6;6;1675;206;312
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.6;7;1670;275;297
