problem;instance;n;algorithm;budget;parameters;run;fitness;nfev;time
pfsp;rec05;;umm-er0;100;;8;1286;97;
pfsp;rec05;;umm-er0;200;;8;1273;142;
pfsp;rec05;;umm-er0;400;;8;1276;346;
pfsp;rec05;;umm-er0;100;;9;1289;100;
pfsp;rec05;;umm-er0;200;;9;1290;170;
pfsp;rec05;;umm-er0;400;;9;1290;283;
pfsp;rec05;;umm-er0;100;;10;1279;92;
pfsp;rec05;;umm-er0;200;;10;1275;176;
pfsp;rec05;;umm-er0;400;;10;1273;347;
pfsp;rec13;;umm-er0;100;;1;2085;84;
pfsp;rec13;;umm-er0;200;;1;2094;177;
pfsp;rec13;;umm-er0;400;;1;2040;397;
pfsp;rec13;;umm-er0;100;;2;2111;87;
pfsp;rec13;;umm-er0;200;;2;2120;96;
pfsp;rec13;;umm-er0;400;;2;2041;380;
pfsp;rec13;;umm-er0;100;;3;2115;90;
pfsp;rec13;;umm-er0;200;;3;2105;197;
pfsp;rec13;;umm-er0;400;;3;2068;367;
pfsp;rec13;;umm-er0;100;;4;2183;85;
pfsp;rec13;;umm-er0;200;;4;2077;168;
pfsp;rec13;;umm-er0;400;;4;2034;354;
pfsp;rec13;;umm-er0;100;;5;2131;88;
pfsp;rec13;;umm-er0;200;;5;2141;186;
pfsp;rec13;;umm-er0;400;;5;2065;363;
pfsp;rec13;;umm-er0;100;;6;2173;99;
pfsp;rec13;;umm-er0;200;;6;2071;200;
pfsp;rec13;;umm-er0;400;;6;2106;307;
pfsp;rec13;;umm-er0;100;;7;2134;89;
pfsp;rec13;;umm-er0;200;;7;2133;120;
pfsp;rec13;;umm-er0;400;;7;2070;328;
pfsp;rec13;;umm-er0;100;;8;2182;26;
pfsp;rec13;;umm-er0;200;;8;2107;200;
pfsp;rec13;;umm-er0;400;;8;2066;358;
pfsp;rec13;;umm-er0;100;;9;2113;97;
pfsp;rec13;;umm-er0;200;;9;2194;171;
pfsp;rec13;;umm-er0;400;;9;2059;387;
pfsp;rec13;;umm-er0;100;;10;2122;86;
pfsp;rec13;;umm-er0;200;;10;2094;164;
pfsp;rec13;;umm-er0;400;;10;2029;375;
pfsp;rec19;;umm-er0;100;;1;2386;94;
pfsp;rec19;;umm-er0;200;;1;2420;170;
pfsp;rec19;;umm-er0;400;;1;2352;270;
pfsp;rec19;;umm-er0;100;;2;2410;61;
pfsp;rec19;;umm-er0;200;;2;2320;153;
pfsp;rec19;;umm-er0;400;;2;2342;201;
pfsp;rec19;;umm-er0;100;;3;2355;79;
pfsp;rec19;;umm-er0;200;;3;2338;198;
pfsp;rec19;;umm-er0;400;;3;2350;366;
pfsp;rec19;;umm-er0;100;;4;2446;86;
pfsp;rec19;;umm-er0;200;;4;2374;188;
pfsp;rec19;;umm-er0;400;;4;2280;330;
pfsp;rec19;;umm-er0;100;;5;2408;42;
pfsp;rec19;;umm-er0;200;;5;2332;178;
pfsp;rec19;;umm-er0;400;;5;2250;389;
pfsp;rec19;;umm-er0;100;;6;2402;91;
pfsp;rec19;;umm-er0;200;;6;2409;185;
pfsp;rec19;;umm-er0;400;;6;2297;389;
pfsp;rec19;;umm-er0;100;;7;2434;98;
pfsp;rec19;;umm-er0;200;;7;2280;184;
pfsp;rec19;;umm-er0;400;;7;2320;341;
pfsp;rec19;;umm-er0;100;;8;2382;100;
pfsp;rec19;;umm-er0;200;;8;2360;195;
pfsp;rec19;;umm-er0;400;;8;2306;398;
pfsp;rec19;;umm-er0;100;;9;2294;99;
pfsp;rec19;;umm-er0;200;;9;2339;163;
pfsp;rec19;;umm-er0;400;;9;2248;398;
pfsp;rec19;;umm-er0;100;;10;2407;60;
pfsp;rec19;;umm-er0;200;;10;2293;194;
pfsp;rec19;;umm-er0;400;;10;2303;338;
pfsp;rec31;;umm-er0;100;;1;3524;17;
pfsp;rec31;;umm-er0;200;;1;3443;184;
pfsp;rec31;;umm-er0;400;;1;3446;283;
pfsp;rec31;;umm-er0;100;;2;3567;68;
pfsp;rec31;;umm-er0;200;;2;3363;191;
pfsp;rec31;;umm-er0;400;;2;3437;377;
pfsp;rec31;;umm-er0;100;;3;3416;82;
pfsp;rec31;;umm-er0;200;;3;3446;130;
pfsp;rec31;;umm-er0;400;;3;3375;384;
pfsp;rec31;;umm-er0;100;;4;3446;99;
pfsp;rec31;;umm-er0;200;;4;3480;110;
pfsp;rec31;;umm-er0;400;;4;3355;290;
pfsp;rec31;;umm-er0;100;;5;3563;99;
pfsp;rec31;;umm-er0;200;;5;3398;198;
pfsp;rec31;;umm-er0;400;;5;3414;366;
pfsp;rec31;;umm-er0;100;;6;3578;2;
pfsp;rec31;;umm-er0;200;;6;3455;166;
pfsp;rec31;;umm-er0;400;;6;3395;389;
pfsp;rec31;;umm-er0;100;;7;3431;87;
pfsp;rec31;;umm-er0;200;;7;3430;153;
pfsp;rec31;;umm-er0;400;;7;3452;313;
pfsp;rec31;;umm-er0;100;;8;3530;82;
pfsp;rec31;;umm-er0;200;;8;3462;188;
pfsp;rec31;;umm-er0;400;;8;3408;378;
pfsp;rec31;;umm-er0;100;;9;3529;68;
pfsp;rec31;;umm-er0;200;;9;3425;198;
pfsp;rec31;;umm-er0;400;;9;3475;396;
pfsp;rec31;;umm-er0;100;;10;3535;99;
pfsp;rec31;;umm-er0;200;;10;3487;197;
pfsp;rec31;;umm-er0;400;;10;3436;366;
lop;N-p50-01;;umm-er0;100;;1;24598;99;
lop;N-p50-01;;umm-er0;200;;1;22685;157;
lop;N-p50-01;;umm-er0;400;;1;19903;378;
lop;N-p50-01;;umm-er0;100;;2;23655;89;
lop;N-p50-01;;umm-er0;200;;2;21718;186;
lop;N-p50-01;;umm-er0;400;;2;20754;398;
lop;N-p50-01;;umm-er0;100;;3;25213;81;
lop;N-p50-01;;umm-er0;200;;3;22418;198;
lop;N-p50-01;;umm-er0;400;;3;22385;350;
lop;N-p50-01;;umm-er0;100;;4;23656;96;
lop;N-p50-01;;umm-er0;200;;4;23771;158;
lop;N-p50-01;;umm-er0;400;;4;20586;384;
lop;N-p50-01;;umm-er0;100;;5;25500;98;
lop;N-p50-01;;umm-er0;200;;5;22722;187;
lop;N-p50-01;;umm-er0;400;;5;21222;330;
lop;N-p50-01;;umm-er0;100;;6;25431;88;
lop;N-p50-01;;umm-er0;200;;6;23297;195;
lop;N-p50-01;;umm-er0;400;;6;21357;394;
lop;N-p50-01;;umm-er0;100;;7;24873;98;
lop;N-p50-01;;umm-er0;200;;7;22269;189;
lop;N-p50-01;;umm-er0;400;;7;21130;375;
lop;N-p50-01;;umm-er0;100;;8;25529;95;
lop;N-p50-01;;umm-er0;200;;8;22125;189;
lop;N-p50-01;;umm-er0;400;;8;21534;363;
lop;N-p50-01;;umm-er0;100;;9;24448;100;
lop;N-p50-01;;umm-er0;200;;9;21720;199;
lop;N-p50-01;;umm-er0;400;;9;21231;382;
lop;N-p50-01;;umm-er0;100;;10;24529;88;
lop;N-p50-01;;umm-er0;200;;10;21595;199;
lop;N-p50-01;;umm-er0;400;;10;21516;366;
lop;N-p50-02;;umm-er0;100;;1;26046;79;
lop;N-p50-02;;umm-er0;200;;1;24263;182;
lop;N-p50-02;;umm-er0;400;;1;21601;355;
lop;N-p50-02;;umm-er0;100;;2;23874;93;
lop;N-p50-02;;umm-er0;200;;2;22520;182;
lop;N-p50-02;;umm-er0;400;;2;22311;385;
lop;N-p50-02;;umm-er0;100;;3;23222;100;
lop;N-p50-02;;umm-er0;200;;3;23083;196;
lop;N-p50-02;;umm-er0;400;;3;20846;373;
lop;N-p50-02;;umm-er0;100;;4;24299;86;
lop;N-p50-02;;umm-er0;200;;4;24130;170;
lop;N-p50-02;;umm-er0;400;;4;21334;373;
lop;N-p50-02;;umm-er0;100;;5;23590;98;
lop;N-p50-02;;umm-er0;200;;5;21966;193;
lop;N-p50-02;;umm-er0;400;;5;21698;282;
lop;N-p50-02;;umm-er0;100;;6;23484;90;
lop;N-p50-02;;umm-er0;200;;6;23177;197;
lop;N-p50-02;;umm-er0;400;;6;22282;392;
lop;N-p50-02;;umm-er0;100;;7;24123;96;
lop;N-p50-02;;umm-er0;200;;7;22463;180;
lop;N-p50-02;;umm-er0;400;;7;22386;377;
lop;N-p50-02;;umm-er0;100;;8;24917;96;
lop;N-p50-02;;umm-er0;200;;8;24409;188;
lop;N-p50-02;;umm-er0;400;;8;21751;380;
lop;N-p50-02;;umm-er0;100;;9;24894;90;
